COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Direct investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Other investment, Debt instruments","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Portfolio investment, Total financial assets/liabilities","Liabilities - Portfolio investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Portfolio investment, Debt securities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Equity and investment fund shares"
"Croatia, Republic of",2014,4,US dollar,-1588501757.8125,29995312.50000001,-262458984.37500012,-401187304.6875001,-1278550195.3125,138728320.3125,107483203.125,152476171.875,28745507.812500007,123730664.0625,38743945.31250001,44992968.75000001,-9998437.500000004
"Croatia, Republic of",2015,1,US dollar,-834471857.1428885,-231985428.5714373,166669142.8571491,472980000.0000178,-68694714.28571688,-306310857.1428686,11261428.57142899,-82208428.57143165,511268857.1428763,-593477285.714308,501133571.4285903,-93469857.14286065,10135285.714286089
"Croatia, Republic of",2015,2,US dollar,631109722.5806248,-88421677.41935201,95053303.2258034,114948180.6451576,160264290.3225755,-19894877.4193542,-108316554.8387062,57474090.3225788,123790348.3870928,-66316258.06451402,99474387.096771,165790645.161285,24315961.290321797
"Croatia, Republic of",2015,3,US dollar,1558533300,-678106500,253456200,175640700,1192800450,77815500.00000001,2223300,173417400,-331271700,504689100,-322378500,172305750,-10004850
"Croatia, Republic of",2015,4,US dollar,-1078841707.692339,-1458900664.615426,-600208381.5384786,-274912963.0769309,-1073365353.846185,-325295418.4615478,50382455.38461682,30667581.53846241,36143935.38461642,-5476353.846154003,49287184.61538602,-18619603.07692361,-13143249.23076961
"Croatia, Republic of",2016,1,US dollar,-632546148.3870687,-413248790.3225623,-46283864.51612698,430880738.7096583,-635852138.7096492,-477164603.2257853,-8815974.193547996,-25345925.80645049,-408840803.2257883,383494877.4193378,-406636809.6774013,-16529951.61290249,-2203993.548386999
"Croatia, Republic of",2016,2,US dollar,503638981.53846824,-396361620.0000052,-287955023.07692695,123086656.92307849,860477363.0769343,-411041680.00000536,-287955023.07692695,-429109446.1538518,-179548426.1538485,-249561020.0000033,-178419190.7692331,-141154423.0769249,-1129235.3846153992
"Croatia, Republic of",2016,3,US dollar,1564396931.818198,-581763598.4848545,-117246022.7272739,761540833.3333414,2179659393.939417,-878786856.0606152,23449204.54545479,-5583143.939393997,-624195492.4242488,618612348.4848549,-650994583.33334,-29032348.48484879,25682462.12121239
"Croatia, Republic of",2016,4,US dollar,-1717680937.5,-384104531.25,-231973242.1875,258946874.99999997,-1868733281.25,-490920117.1875,298867851.5625,339867773.4375,-430499179.6875,770366953.1250001,-418630781.25,40999921.875,-10789453.125
"Croatia, Republic of",2017,1,US dollar,-883781446.153827,27684719.999999397,317309483.0769162,481288209.2307588,-521750492.307681,-163978726.1538426,-167173116.92307332,-41527079.999999106,811375255.3845978,-852902335.3845968,791144113.8461367,125646036.9230742,20231141.5384611
"Croatia, Republic of",2017,2,US dollar,146583375.8064529,-242468741.9354859,66127838.70967799,175238772.5806467,-536737624.193553,-109110933.8709687,58412924.19354889,54004401.61290369,-1549595687.096787,1603600088.7096908,-1573842561.2903361,-4408522.580645199,23144743.54838729
"Croatia, Republic of",2017,3,US dollar,1727847915.384628,-769368038.4615437,344160053.8461562,722383730.7692357,2133087569.2307842,-378223676.9230795,85746361.53846213,238445361.5384632,-333588584.6153869,572033946.1538502,-307747215.3846175,152699000.000001,-25841369.23076941
"Croatia, Republic of",2017,4,US dollar,-1346929257.1428409,114206414.2857129,-189559099.99999782,441519642.8571377,-299055971.4285679,-631078742.8571353,140108899.99999842,269621328.57142544,1138531985.714272,-868910657.1428468,1122048585.714273,129512428.57142699,16483399.999999812
"Croatia, Republic of",2018,1,US dollar,-104483214.2857155,329429428.5714325,173319214.2857164,710485857.1428657,-1275924428.571444,-537166642.8571494,7375285.714285803,256905785.7142888,-31959571.42857181,288865357.1428606,-39334857.14285762,249530500.000003,7375285.714285803
"Croatia, Republic of",2018,2,US dollar,146553328.5714314,112000104.76190689,81021352.38095395,620766538.0952501,278808771.42857677,-539745185.7142962,-116766066.6666689,-138212895.2380979,314553485.7142918,-452766380.95238966,303830071.4285773,-21446828.57142899,10723414.28571449
"Croatia, Republic of",2018,3,US dollar,1640854070.769177,-1102430658.4615018,161643313.8461486,231417406.1538386,1957163289.230705,-69774092.30769002,418644553.8461402,437250978.4615242,-773329523.0768977,1210580501.5384219,-773329523.0768977,18606424.615384012,0
"Croatia, Republic of",2018,4,US dollar,-1353715225,986180400.0000002,-81040287.5,83323112.50000001,-1277240587.5,-164363400,-63919100.00000001,-5707062.500000001,-141535150,135828087.5,-135828087.5,58212037.50000001,-5707062.500000001
"Croatia, Republic of",2019,1,US dollar,-774596114.2856946,313472914.2857063,-10221942.857142601,516775999.99998677,-1276607085.714253,-526997942.8571294,161279542.8571387,254412799.9999935,-229425828.5714227,483838628.5714162,-220339657.1428515,93133257.14285477,-9086171.428571196
"Croatia, Republic of",2019,2,US dollar,11237000.000000011,-121359600,29216200.00000001,2651932000.000001,400037200.0000001,-2622715800.000001,-24721400.00000001,20226600,233729600,-213503000,264069500.00000012,44948000.00000001,-30339900.00000001
"Croatia, Republic of",2019,3,US dollar,1238703860.606033,-776135812.121195,143440572.7272696,659381857.575743,1320987599.9999712,-515941284.8484734,355821575.75756794,540404018.1818062,1293189039.393911,-752785021.2121046,1240927745.4545178,183470499.9999959,52261293.939392775
"Croatia, Republic of",2019,4,US dollar,-1546627431.25,383058762.4999999,-63105056.24999999,150566450,-954325587.4999998,-213671506.2499999,334346087.4999999,525875468.7499999,-1452523400,1978398868.75,-1413774681.25,191529381.25,-39855824.999999985
"Croatia, Republic of",2020,1,US dollar,1251520164.0625,71672960.93749999,62851673.437499985,572281026.5624999,1164409950,-509429353.12499994,-20950557.812499993,14334592.1875,362775448.4374999,-348440856.24999994,489581456.24999994,35285149.999999985,-125703346.875
"Croatia, Republic of",2020,2,US dollar,628906767.7419318,-36346625.80645141,111242703.2258058,329322458.0645143,511055587.0967713,-218079754.8387084,16521193.548387,-69389012.9032254,1572817625.806443,-1642206638.709668,1577223277.419346,-85910206.45161241,-4405651.612903201
"Croatia, Republic of",2020,3,US dollar,396260695.4545434,-504969381.8181792,204559356.06060502,526009772.72727007,874345133.333329,-321450416.66666496,201052624.2424232,396260695.4545434,-1234369599.999994,1630630295.454537,-1225018315.1515088,194039160.6060596,-9351284.848484801
"Croatia, Republic of",2020,4,US dollar,-1834677833.8462129,749140233.846178,63223618.4615405,44137243.076924495,-1159497304.615422,19086375.384616002,66802313.84615599,397235187.69232047,-15507680.0000005,412742867.692321,-8350289.230769501,330432873.8461645,-8350289.230769501
"Croatia, Republic of",2021,1,US dollar,192775619.0476161,454227552.3809454,192775619.0476161,1044602885.7142701,363863980.9523753,-851827266.6666535,107231438.0952364,478324504.7618974,1256656066.666647,-778331561.90475,1243402742.8571239,371093066.6666609,13253323.80952361
"Croatia, Republic of",2021,2,US dollar,-496807911.1110928,-385870222.22220796,745211866.6666392,1274577577.777731,258050711.11110157,-529365711.1110916,53057155.5555536,204993555.555548,226698755.5555472,-21705199.9999992,241168888.88887998,151936399.9999944,-14470133.3333328
"Croatia, Republic of",2021,3,US dollar,2724203298.484885,-1071527822.727287,351281948.4848532,1903759553.030328,2957605398.484888,-1552477604.545475,350103150.0000047,464446603.0303092,-245190084.84848812,709636687.8787974,-246368883.33333662,113164654.5454561,1178798.484848501
"Croatia, Republic of",2021,4,US dollar,-2563784748.484943,147514822.72727817,-108634946.969701,902241822.727306,-532883003.0303227,-1010876769.6970071,69755071.2121238,232135728.7878874,230992203.0303116,1143525.7575758,238996883.3333422,162380657.57576358,-8004680.303030598
"Croatia, Republic of",2022,1,US dollar,-518218181.25000006,680862415.625,-111046753.125,1187863753.125,297246359.375,-1298910506.25,-11216843.75,-142453915.625,109925068.75,-252378984.375,121141912.5,-131237071.875,-12338528.125
"Croatia, Republic of",2022,2,US dollar,921988961.9047784,187378819.04762238,83042885.7142872,800618590.4762049,1544810604.761933,-717575704.7619177,266163095.23810002,144792723.80952638,-667537042.857155,812329766.6666813,-667537042.857155,-122435023.809526,0
"Croatia, Republic of",2022,3,US dollar,2451949075.7575607,-383651990.9090887,195350357.5757564,1218422333.3333259,1653429315.151506,-1023071975.75757,159099775.7575748,78542927.27272682,-349415330.30302835,427958257.5757551,-339345724.2424223,-80556848.48484802,-10069606.060606001
"Croatia, Republic of",2022,4,US dollar,-2912560512.499999,570469981.2499998,-566387906.2499996,720486237.4999996,-1476690631.2499988,-1286874143.7499988,405145943.74999976,581695687.4999998,-269416949.9999999,851112637.4999995,-259211762.4999999,176549743.74999988,-10205187.5
"Croatia, Republic of",2023,1,US dollar,1032231920.0000429,-1048327012.307737,512896941.5384834,1290826403.076978,10024023489.2312,-777929461.5384947,-3318808033.846295,-2979738089.230896,-492509824.6154056,-2487228264.615491,-460319640.0000196,339069944.6153991,-31117178.46153979
"Croatia, Republic of",2023,2,US dollar,862233793.5484153,145882990.3225854,-26128296.7741944,280879190.3225898,-840460212.9032532,-307007487.0967842,1069082809.677454,1230207306.451653,286322585.4838803,943884720.9677727,276524474.1935574,161124496.7741988,8709432.2580648
"Croatia, Republic of",2023,3,US dollar,1148302576.923117,743403469.2307956,608437100.0000216,1715379015.384676,10136627392.30805,-1106941915.384655,677008723.0769471,765172238.4615657,325443100.0000116,439729138.4615541,322177784.6153961,88163515.38461852,3265315.384615501
"Croatia, Republic of",2023,4,US dollar,-1470741142.857177,-780524904.7619231,272001103.1746095,54830261.90476318,2094300984.1270332,217170841.26984632,3225309.523809599,9675928.571428796,-406389000.0000095,416064928.5714383,-405313896.8254063,7525722.222222398,-1075103.1746032
"Croatia, Republic of",2024,1,US dollar,1934872971.4285688,9772085.7142857,415856536.50793594,1144419815.873014,-1894698841.269838,-728563279.3650782,1629766739.682537,1817607942.85714,729649066.6666654,1087958876.190475,688389149.2063481,187841203.1746029,41259917.4603174
"Croatia, Republic of",2024,2,US dollar,297174019.0476299,261642342.8571524,728937720.6349472,947511365.0793996,30148088.88888998,-218573644.4444524,285330126.9841374,191655707.93651488,-150740444.4444499,342396152.3809648,-135666400.0000049,-92597701.58730495,-15074044.44444499
"Croatia, Republic of",2024,3,US dollar,-473386890.9091103,180128654.545462,853414418.181853,1601387672.727338,5297320127.2729435,-747973254.5454853,702941090.9091197,723809654.5454843,138391527.2727329,585418127.2727512,114227927.2727319,20868563.636364494,25261945.45454649
"Croatia, Republic of",2024,4,US dollar,167697587.5,96132375,789353612.5,972005125.0000002,-9714710562.500002,-182651512.5,497752075.0000001,576794250.0000001,105745612.5,471048637.5000001,65156387.50000001,79042175.00000001,41657362.500000015
"Croatia, Republic of",2025,1,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,1999,1,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,1999,2,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,1999,3,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,1999,4,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,2000,1,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,2000,2,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,2000,3,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,2000,4,US dollar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,2001,1,US dollar,0,0,42586642.427387625,136423612.3982059,-360137996.44399685,-93836969.97081827,-48814388.5838794,-61674031.33424241,48092962.258049265,-109766993.5922917,39834485.89076123,-12859642.75036308,8258476.367288093
Cyprus,2001,2,US dollar,0,0,64003802.50171651,149731955.7065443,317900683.3477692,-85728153.2048278,-10179579.809981229,-12861284.190652251,285520509.03248,-298381793.2231323,236491206.9161164,-2681704.380671024,49029302.11636428
Cyprus,2001,3,US dollar,0,0,54348971.06282882,232799027.61167172,1030108936.226901,-178450056.5488429,144421989.9456567,182468460.46133998,51047724.057636775,131420736.40370318,42281858.88859576,38046470.51568324,8765865.169041006
Cyprus,2001,4,US dollar,0,0,88200298.13317809,425788278.24067414,490514335.189348,-337587980.10749596,111841959.87636809,141305560.4710809,133039341.14992489,8266219.321155944,110193955.81244029,29463600.59471276,22845385.33748456
Cyprus,2002,1,US dollar,-166224753.9806028,460162482.8602221,14997476.207429219,52658058.205644436,-164245887.8617862,-37660581.99821522,250554894.73633,310377539.7128657,493498765.9387496,-183121226.225884,496695395.822992,59822644.97653566,-3196629.8842423633
Cyprus,2002,2,US dollar,-912513023.6323564,-1181245089.63067,18297635.82225965,92805009.14282589,-937781148.1112046,-74507373.32056622,251727730.6572018,280015316.5517611,28128666.87267975,251886649.67908138,28764342.96019794,28287585.894559298,-635676.0875181865
Cyprus,2002,3,US dollar,361515819.39819944,-61108497.88122973,38476686.68012765,392365910.4960778,380173596.0622163,-353889223.8159501,44504788.3728844,21054188.345633768,-12666747.45997479,33720935.80560856,-12666747.45997479,-23450600.027250618,0
Cyprus,2002,4,US dollar,-662134768.6285474,224031874.73787218,476282023.27694666,565620748.2874317,-663707535.2998742,-89338725.01048511,4019292.604501608,517789738.5712289,43687963.09240878,474101775.47882015,43687963.09240878,513770445.96672714,0
Cyprus,2003,1,US dollar,260482091.6711962,490438938.2246739,71512263.19347344,199363113.8858045,238466914.8893266,-127850850.69233109,309877488.31623125,149111197.3629148,-34965280.77120459,184076478.13411942,-32005257.00221373,-160766290.9533164,-2960023.768990865
Cyprus,2003,2,US dollar,305905612.2625742,446676336.4895993,62552768.79868466,132470959.67315161,272839961.3795778,-69918190.87446694,371263448.5108358,362755327.8157958,18176439.666676342,344578888.1491195,17789706.90781088,-8508120.695039986,386732.758865454
Cyprus,2003,3,US dollar,569026526.9262432,-163374350.3421839,60589506.87439335,98493653.93357824,525447234.88432103,-37904147.0591849,35132204.5976729,34172308.29719004,282209512.3419627,-248037204.0447726,276258155.2789689,-959896.3004828662,5951357.0629937705
Cyprus,2003,4,US dollar,1346921267.993365,816784783.4324944,395026390.74659693,477819790.4985036,1320251575.41369,-82793399.75190678,-33184426.64493933,-24837423.62381962,537058389.5052145,-561895813.1290339,540519341.977386,8347003.021119707,-3460952.472171586
Cyprus,2004,1,US dollar,525933831.37673426,-68943436.4994664,23225494.13020277,130426322.30522949,644183564.5677695,-107200828.1750267,243543223.05229458,253361792.9562433,969050160.0853788,-715688367.1291355,970117395.9445038,9818569.903948775,-1067235.859124867
Cyprus,2004,2,US dollar,562510158.71949,607568580.3579569,67221642.85611407,118648144.4777371,617855891.2343191,-51426501.62162307,722374969.73816,738628920.9228125,792534429.9149508,-53905508.9921384,789859729.0870967,16253951.184652418,2674700.827854195
Cyprus,2004,3,US dollar,431436122.51155585,870681998.7084967,156965030.9913155,151309144.0500323,384366525.97531456,5655886.941283216,546260609.1291126,583620782.1646045,339829822.52622545,243790959.6383791,339407673.67836666,37360173.03549186,422148.8478586651
Cyprus,2004,4,US dollar,1559067473.660614,1015915713.965479,464306852.7236046,718458197.7135171,1487110513.3378172,-254151344.9899126,225958305.3127102,236942389.59874472,877605917.9556153,-640663528.3568708,893521631.921094,10984084.28603452,-15915713.96547859
Cyprus,2005,1,US dollar,2060953666.2168238,1470985155.195682,74235852.45164193,183698090.4183536,1964912280.701754,-109462237.9667117,298245614.0350877,295096716.14934766,997076023.3918128,-701979307.2424651,988304093.5672516,-3148897.885739991,8771929.824561404
Cyprus,2005,2,US dollar,564116169.0109372,2612656.90008925,59897199.48414222,45919874.789985664,412364347.39742,13977324.69415656,435878259.4982233,376875757.8378744,848678049.7123247,-471802291.8744505,852814756.4707994,-59002501.6603489,-4136706.758474646
Cyprus,2005,3,US dollar,2106296979.1518922,1505743866.11828,82928398.80867957,165480901.9997162,1852715926.81889,-82552503.19103666,379520635.3708691,471847964.8276837,369947525.173734,101900439.65394971,366969224.22351414,92327329.45681456,2978300.950219825
Cyprus,2005,4,US dollar,3075597394.128291,4634129523.807567,330559018.9912731,766874643.8301318,2924036001.711696,-436315624.8388586,488272338.08629686,476454281.495673,-649163775.1797007,1125618056.675374,-654761801.9857856,-11818056.59062374,5598026.806084931
Cyprus,2006,1,US dollar,122634756.9230731,662468147.6922868,129195225.87942982,80044594.34452671,25468536.23906381,49150631.53490307,1194942805.0055869,1199873014.393168,873729201.5177078,326143812.8754605,863252504.6153574,4930209.387581383,10476696.90235044
Cyprus,2006,2,US dollar,-191253019.3548393,-369923603.2258076,67009983.48570503,212938924.922391,-311213908.9283235,-145928941.4366859,55426033.46087436,41882062.098004974,400616219.948169,-358734157.850164,376108081.6510463,-13543971.362869399,24508138.29712266
Cyprus,2006,3,US dollar,3819067878.4614677,4239585863.076845,375387926.9687177,238640307.95713562,3754838543.84501,136747619.01158208,1093404174.722146,1103855049.511517,514009175.32942593,589845874.1820908,512267363.0769137,10450874.78937058,1741812.252512276
Cyprus,2006,4,US dollar,106961573.0158771,704915426.9841542,326193547.9559031,1340274100.004225,90667780.24932572,-1014080552.0483221,846516392.016182,812827875.4972061,1221908553.4103682,-409080677.9131619,1212660725.396872,-33688516.518975906,9247828.013495596
Cyprus,2007,1,US dollar,1142830937.5,1811229765.6249988,125930247.3860156,203278620.5603124,1324348999.36746,-77348373.17429684,1719014822.4662101,1797837092.381093,677399619.1137106,1120437473.2673821,737859882.8124996,78822269.91488278,-60460263.69878903
Cyprus,2007,2,US dollar,4567493948.387032,4799373806.451544,267266487.7705897,244484198.69418028,4656135049.993301,22782289.076409347,723618382.5626057,546023795.3889534,1240341255.3424659,-694317459.9535127,1256465277.419337,-177594587.1736523,-16124022.076870741
Cyprus,2007,3,US dollar,3529367293.846076,5157354932.307579,312969999.6727823,400782570.31396204,3639222178.281432,-87812570.6411796,-833128148.6921586,-913641451.9762645,-2949438523.875097,2035797071.898832,-2956480504.61532,-80513303.28410591,7041980.740222922
Cyprus,2007,4,US dollar,4358860907.812498,3473761534.374998,556465681.6189402,1446090181.3745399,4341332753.281248,-889624499.7555996,-2295172071.288221,-2022342526.030513,-56579723.940624975,-1965762802.089888,-127561506.75312491,272829545.2577077,70981782.81249996
Cyprus,2008,1,US dollar,NA,NA,5252481468.327354,5319947482.093838,4486566622.985466,-67466013.76648352,1020696947.421,711049819.2806163,20907918.827226482,690141900.4533896,0,-309647128.14038384,20907918.827226482
Cyprus,2008,2,US dollar,-406602824.202493,733095801.2670573,2322106707.6090856,1399079688.80505,-1626163302.636797,923027018.8040357,2083199955.3851612,1624169579.393136,168674008.2707999,1455495571.1223361,0,-459030375.99202466,168674008.2707999
Cyprus,2008,3,US dollar,5919203897.516601,9724627636.026665,4757374764.4141,1875475127.842817,5360526761.409997,2881899636.571282,6915272414.1349,5905525350.260196,1853552781.077558,4051972569.1826377,3357780955.681758,-1009747063.874705,-1504228174.6042
Cyprus,2008,4,US dollar,5325582409.009243,15067959321.69162,4686767904.472296,3809166890.859911,5019074142.2570915,877601013.6123843,8205438522.863249,6758998965.010111,-4632589479.259146,11391588444.26926,-3783784350.337637,-1446439557.853139,-848805128.9215086
Cyprus,2009,1,US dollar,9125536928.529179,14728182608.31654,909208337.4190865,1139314780.668446,9414411720.118773,-230106443.24935958,7946783739.321192,7875407463.162814,-740746324.522973,8616153787.685787,-526401168.3650723,-71376276.15837683,-214345156.1579006
Cyprus,2009,2,US dollar,-373595736.3458438,NA,NA,NA,1189347678.8813279,1283283089.52862,5279776353.478093,5213232491.551176,3088234596.004514,2124997895.5466623,2472184206.8324,-66543861.92691679,616050389.1721134
Cyprus,2009,3,US dollar,-2271748732.9840794,2736122203.493925,1428219270.087464,1587966134.232107,-2305336130.501122,-159746864.14464322,1334422777.757426,1471946940.263885,887567930.2982712,584379009.9656143,321553916.38635343,137524162.5064593,566014013.9119178
Cyprus,2009,4,US dollar,NA,-2508442911.24423,2751318672.8121367,5252511881.742159,-2089673489.8922281,-2501193208.9300222,2054015923.5001128,2281950289.014712,-1152096487.655237,3434046776.669949,-889862136.9000143,227934365.514599,-262234350.7552231
Cyprus,2010,1,US dollar,1874169452.3260431,4227044225.702145,8050113223.274345,5941408740.488712,1703797813.374858,2108704482.7856338,2616173912.722611,2944261227.111631,330667261.986712,2613593965.124919,416130827.17459255,328087314.3890201,-85463565.18788047
Cyprus,2010,2,US dollar,694121907.8850336,8035484936.2495165,4627188123.786487,8398376150.716673,976698004.0315108,-3771188026.9301877,9055662710.76417,9528954512.274328,-457486523.16460943,9986441035.438936,-380656577.1150815,473291801.51015824,-76829946.04952791
Cyprus,2010,3,US dollar,-13014370152.499199,-22696548435.745453,7967112860.812228,6447698862.106338,-11841092124.20562,1519413998.705891,NA,NA,-2136327398.2661808,-10529425283.45682,-2197455472.73522,62152445.11879208,61128074.469039924
Cyprus,2010,4,US dollar,NA,-8433262144.358445,12343470133.67433,11532807555.777578,-11157797925.49778,810662577.8967482,-815624169.6930383,-891592105.7200158,606613541.2915205,-1498205647.0115361,71575195.22683652,-75967936.02697736,535038346.064684
Cyprus,2011,1,US dollar,NA,NA,13709890793.143349,10587917167.97559,2079836245.4537458,3121973625.167765,-4223048182.2715955,-3956730012.760576,310308303.7117519,-4267038316.472327,35375607.55296404,266318169.51102006,274932696.1587879
Cyprus,2011,2,US dollar,NA,-5403146690.071707,15491101966.867311,15808758724.93058,2722545209.7390513,-317656758.0632788,-8489330227.852543,-8103088115.05511,113895081.7678343,-8216983196.822945,59025387.66818551,386242112.7974323,54869694.09964881
Cyprus,2011,3,US dollar,NA,NA,10687842119.558939,8061774729.283319,387612433.17621,2626067390.275617,3492162409.136791,3234350584.607193,277958999.216765,2956391585.390428,-74248405.10331964,-257811824.5295979,352207404.32008463
Cyprus,2011,4,US dollar,NA,-6223688769.744643,9454839714.75909,7483989040.227372,-4810441072.832103,1970850674.531721,-1433381954.399218,-1724503428.067022,-171123251.5127796,-1553380176.554243,-170489633.0057235,-291121473.66780484,-633618.5070561408
Cyprus,2012,1,US dollar,NA,-342642156.99548244,49390080143.27908,49983832238.24121,7151442582.324456,-593752094.9621282,-4876907193.874437,-4173460483.395638,-948587147.6609962,-3224873335.734641,-1166875147.431788,703446710.4787997,NA
Cyprus,2012,2,US dollar,NA,-2066867094.0966759,9096483607.806328,6735110657.195093,430296807.1477788,2361372950.611236,-403861209.76921093,-622440247.5318346,-497843403.5733771,-124596843.9584575,-517180325.4673297,-218579037.7626237,19336921.893952537
Cyprus,2012,3,US dollar,NA,1520834374.558671,10228907148.025589,7294368571.74469,235165767.8902821,2934538576.280896,-615342766.110679,-479786421.2419105,515230667.5761809,-995017088.8180913,-309298230.942168,135556344.8687686,824528898.5183488
Cyprus,2012,4,US dollar,-1221452761.0371711,-2015644876.6121638,9777064709.091547,8588716176.94927,-1841526733.4370139,1188348532.1422749,-3760152472.3229966,-3656027640.02456,-757289048.8807502,-2898738591.1438093,-116117734.1696212,104124832.29843749,-641171314.7111288
Cyprus,2013,1,US dollar,NA,NA,8414854279.07711,5497608293.568579,657387843.7180824,2917245985.5085297,-14920025544.33011,-14518598037.828901,769667101.1395705,-15288265138.968472,632993172.3485495,401427506.50120634,136673928.79102102
Cyprus,2013,2,US dollar,NA,NA,10896831471.267641,7901759482.52309,-5830235477.193766,2995071988.744552,-641498667.1800966,-1215578641.2475362,-123076951.72592579,-1092501689.52161,-122116886.36200841,-574079974.0674397,-960065.3639174897
Cyprus,2013,3,US dollar,NA,NA,6907237216.751803,6331968087.504217,-2511115464.686625,575269129.2475841,197085955.54413652,115814992.710371,57845642.50078611,57969350.20958487,-45192443.65819135,-81270962.83376548,103038086.15897751
Cyprus,2013,4,US dollar,NA,NA,7633104834.880325,6166793503.887225,878038733.2846792,1466311330.993099,-545424814.2012645,-350138687.5488228,820821724.6989889,-1170960412.247812,611927380.765402,195286126.6524417,208894343.933587
Cyprus,2014,1,US dollar,NA,NA,19561919996.73262,17413972822.50475,-988623448.4550142,2147947174.22787,-1767134663.180906,-1370308240.501598,-118363761.9263328,-1251944478.5752652,-207678945.09255838,396826422.6793077,89315183.16622557
Cyprus,2014,2,US dollar,1152258646.12583,NA,14477943145.29159,11318459913.39325,788203200.62856,3159483231.898346,-10079226.230422799,-1206964273.451646,944050430.9692378,-2151014704.4208837,884439393.8751153,-1196885047.221224,59611037.094122656
Cyprus,2014,3,US dollar,-2850807877.040014,NA,14302520377.70434,13607464031.31133,-991498584.2307676,695056346.3930093,179917599.3397403,372126185.91151,570836642.9259971,-198710457.01448712,-796134955.3441043,192208586.5717697,NA
Cyprus,2014,4,US dollar,NA,NA,14724413582.751268,11814990496.412941,-11041657.75886154,2909423086.338323,-398795859.4717091,-117922649.3816133,770690459.5345725,-888613108.9161857,734984982.8246604,280873210.0900958,35705476.70991212
Cyprus,2015,1,US dollar,NA,NA,9023229337.213224,7219119852.133713,-993594137.5615743,1804109485.079509,-976727202.5226352,-879683697.4327617,-350022295.175166,-529661402.25759554,-449242612.2791897,97043505.08987363,99220317.10402374
Cyprus,2015,2,US dollar,-1016292458.909556,-1512338304.323255,11216260411.28517,8184799928.563794,538144568.4686353,3031460482.721379,-264725398.0765786,-511550669.7429287,2120024387.7487078,-2631575057.4916368,1322244690.508717,-246825271.6663501,NA
Cyprus,2015,3,US dollar,NA,-200091605.47381198,5897088111.174917,5180990096.900495,1942245411.103403,716098014.2744235,426002902.2162855,990494149.9755856,-616029973.390578,1606524123.366164,-708976085.2021561,564491247.7593,92946111.811578
Cyprus,2015,4,US dollar,NA,1796861136.520357,12712841189.04027,6734737899.554079,-357644356.2256565,5978103289.486187,184598647.6939054,-373518348.54678535,655798779.0158302,-1029317127.562616,457498731.6799996,-558116996.2406908,198300047.3358306
Cyprus,2016,1,US dollar,NA,NA,-1961908493.318578,3709039517.1163816,-1971712794.255759,-5670948010.434961,1283619296.859204,1451755353.180902,-290890366.7872924,1742645719.968194,-409065899.9961566,168136056.3216975,118175533.2088642
Cyprus,2016,2,US dollar,NA,NA,1758097046.9236841,-761746625.9722823,-1918809612.5106869,2519843672.895966,-1411894565.0824509,-1562304324.7632341,1023214809.640907,-2585519134.404141,931303395.4667716,-150409759.68078318,91911414.17413525
Cyprus,2016,3,US dollar,NA,NA,2099406092.907437,1048509179.899851,1857325782.210295,1050896913.007585,-9633269.410702096,-15288882.78175519,2878848613.5471272,-2894137496.328882,2644080403.851581,-5655613.371053078,234768209.695546
Cyprus,2016,4,US dollar,1527298267.219389,NA,-4906819362.312992,-664730715.3636833,900892260.8406703,-4242088646.949309,1442317638.7874079,1699607645.498503,-767418682.2550102,2467026327.7535133,-1064070107.9061539,257290006.71109572,296651425.65114385
Cyprus,2017,1,US dollar,NA,NA,14464013250.03166,13103059297.65312,1503266727.165001,1360953952.378533,660486777.4948456,1730822455.738072,-135204892.5166738,1866027348.254746,638152754.6067522,1070335678.243226,-773357647.123426
Cyprus,2017,2,US dollar,NA,NA,12944580306.0273,8239861563.873954,-199126358.52112392,4704718742.153351,753115538.0164042,1198910992.8657482,3767830045.67552,-2568919052.809773,3492656081.7199,445795454.84934354,275173963.9556203
