COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities"
Tonga,2007,4,US dollar,2343076.893783985,NA,NA,-4461348.08351263,-6804424.977296615
Tonga,2008,1,US dollar,1017625.574861763,0,NA,-2262589.33843923,-3280214.913300998
Tonga,2008,2,US dollar,-2086828.315703824,0,NA,-4725779.76674803,-2638951.451044209
Tonga,2008,3,US dollar,13961836.52560471,-14042530.25856528,NA,-111318.35310052,-30624.62013996209
Tonga,2008,4,US dollar,689712.143113255,-2171049.553549663,NA,-1959149.3990626,-477811.988626192
Tonga,2009,1,US dollar,1291445.308600484,201131.4213135764,NA,1288895.95072516,-203680.7791888919
Tonga,2009,2,US dollar,945594.4352365232,-1932.418607783898,NA,930960.93094345,-12701.08568529009
Tonga,2009,3,US dollar,-11137199.46518322,0,NA,-21430633.20371057,-113.0739091011714
Tonga,2009,4,US dollar,1635126.687398406,-45474.94522581109,NA,1382163.22708318,-207488.515089406
Tonga,2010,1,US dollar,-13055929.60471586,0,0,-13101877.34646573,-45947.74174986684
Tonga,2010,2,US dollar,-4065081.191838122,0,0,-8472537.863911882,-4407456.672073757
Tonga,2010,3,US dollar,-11882717.10949426,NA,NA,-12079247.83892519,-196530.7294309226
Tonga,2010,4,US dollar,-5301850.272069391,NA,NA,-9634321.790503971,-4332471.518434571
Tonga,2011,1,US dollar,-3104.993195579175,NA,NA,-1325157.79914449,-1322052.8059489
Tonga,2011,2,US dollar,1230159.657424715,NA,NA,-560337.24684267,-1790496.904267413
Tonga,2011,3,US dollar,-14225466.65615452,NA,NA,-15185670.75191046,-960204.09575595
Tonga,2011,4,US dollar,-14649709.64361883,NA,NA,-14291297.62515725,358412.0184615802
Tonga,2012,1,US dollar,-7287368.057761396,NA,NA,-3654388.326761656,3632979.730999716
Tonga,2012,2,US dollar,1578055.590693123,NA,NA,-611618.084695889,-2189673.675389012
Tonga,2012,3,US dollar,631944.9829503775,NA,NA,-631204.3178250623,-1263149.300775439
Tonga,2012,4,US dollar,5063275.90116292,NA,NA,4596200.188734623,-467075.7124282902
Tonga,2013,1,US dollar,-1895317.054964814,NA,NA,-3697642.307745842,-1802325.252781018
Tonga,2013,2,US dollar,952344.7097545172,NA,NA,1591255.11156309,638910.4018085742
Tonga,2013,3,US dollar,5176727.852953602,NA,NA,2733409.126383317,-2443318.726570285
Tonga,2013,4,US dollar,-11234842.76049369,NA,NA,-12103986.04040875,-869143.27991507
Tonga,2014,1,US dollar,642688.4890354275,NA,NA,-936095.8817814334,-1578784.370816855
Tonga,2014,2,US dollar,3326281.87249122,NA,NA,-4194036.197968414,-7520318.070459623
Tonga,2015,1,US dollar,5157890.885197243,0,0,4742183.7606322,-415707.1245650912
Tonga,2015,2,US dollar,-1200405.518556592,0,0,-1732740.903941787,-532335.3853851858
Tonga,2015,3,US dollar,-4496496.093180129,0,177.2763192693563,-16105129.5800848,-11608810.76322391
Tonga,2015,4,US dollar,304424.1231219133,0,1049.348227954966,-401382.673566755,-706856.1449165719
Tonga,2016,1,US dollar,-603088.8691316303,0,0,-138538.635166363,464550.2339652742
Tonga,2016,2,US dollar,-4584975.686463867,0,0,-9350484.788854448,-4765509.102390632
Tonga,2016,3,US dollar,1284099.725275856,0,0,17307322.11714598,16023222.39187017
Tonga,2016,4,US dollar,1032712.061666659,0,-171.6888813403749,1840936.631726722,808396.2589414392
Tonga,2017,1,US dollar,2217165.435445351,0,1259.892009668686,1497243.864570859,-721181.46288417
Tonga,2017,2,US dollar,-11850474.25775168,0,0,-11717425.32745726,133048.9302944041
Tonga,2017,3,US dollar,-170430.8613429048,0,205.6877671627642,5035198.032619372,5205423.206195099
Tonga,2017,4,US dollar,651832.5130350369,0,191995.7501317002,364387.021096425,-479441.2420702761
Tonga,2018,1,US dollar,-6870111.067198866,0,0,-34877572.53500784,-28007461.46780901
Tonga,2018,2,US dollar,-1246142.473154744,0,0,-520479.381161616,725663.0919931137
Tonga,2018,3,US dollar,2781939.974545903,0,-71826.90326421468,9037682.558170736,6327569.48688903
Tonga,2018,4,US dollar,-340344.3027209189,0,0,-2025612.91567207,-1689394.228682981
Tonga,2019,1,US dollar,-2912300.313041468,0,0,-4383106.627380451,-1466627.925164268
Tonga,2019,2,US dollar,2037541.420169147,0,4908577.403042668,11351845.05693034,4405726.233718469
Tonga,2019,3,US dollar,-3989727.178616526,0,3332.129552037414,-5024712.540074203,-1038317.491009708
Tonga,2019,4,US dollar,-118927.2685591464,0,4841315.202030605,2267914.108704362,-2454473.824767091
Tonga,2020,1,US dollar,8331354.349814222,0,0,8172383.010237542,-158971.3395766962
Tonga,2020,2,US dollar,1391709.748431216,0,0,2297355.36668932,905645.6182580763
Tonga,2020,3,US dollar,2318220.137650261,0,0,1227777.354931567,-1090442.782718704
Tonga,2020,4,US dollar,1161988.392078543,0,5231.356842309479,-117770.53540073,-1298089.464170957
Tonga,2021,1,US dollar,-8506670.362206817,0,0,748979.997733227,-386591.8642010873
Tonga,2021,2,US dollar,555676.8276037232,0,4010981.139331409,7249942.30278856,2457853.422974555
Tonga,2021,3,US dollar,-20057464.07293207,0,0,-22567468.9751929,-2222010.760478233
Tonga,2021,4,US dollar,-4696119.930401393,0,103.0509113716861,-5133651.49606167,-1058292.699228925
Tonga,2022,1,US dollar,6913302.718216323,0,0,6582103.45534245,-115291.5251781269
Tonga,2022,2,US dollar,-4929204.877970765,0,0,-4036678.231599541,892526.6463712628
Tonga,2022,3,US dollar,-5532439.73693796,0,-87325.46308486757,3424956.253870319,-11956.78740409373
Tonga,2022,4,US dollar,3997974.039530886,0,-65012.73287196912,3091955.487391537,-841005.8192672523
Tonga,2023,1,US dollar,2667641.820461994,0,0,1154311.360507288,-1535628.855500114
Tonga,2023,2,US dollar,-12867092.4963511,0,0,-14318172.95056156,-1396245.09867629
Tonga,2023,3,US dollar,9440146.676039005,0,1542.02463018459,8982452.399296949,-442438.1266032301
Tonga,2023,4,US dollar,-421515.4343744016,0,-38142.67354627266,-3084812.499674321,-2687865.776723417
Tonga,2024,1,US dollar,-6456296.655548782,0,0,-5296485.07445217,1125434.686031937
Tonga,2024,2,US dollar,4789657.349148716,0,1625817.809829594,21639401.09879958,15337995.36029161
Jamaica,2012,1,US dollar,99499750.54659222,-12893690.66107092,46650520.8124937,45942619.7297323,-96266820.96828274
Jamaica,2012,2,US dollar,203183146.8408939,-21853513.39770252,355126603.7465937,409259067.2764085,-102586647.9133763
Jamaica,2012,3,US dollar,-405173450.0694306,6208697.452569789,234028912.0408843,-224823370.7729099,-78527842.9969332
Jamaica,2012,4,US dollar,280175965.1832605,19839120.04482102,-124027843.1901828,127066261.4248591,-46065694.61303981
Jamaica,2013,1,US dollar,487398111.9575614,-65214638.99908608,18610110.60673977,323395731.1921026,-85646920.37311247
Jamaica,2013,2,US dollar,-732371246.7526916,108150310.3566981,25970491.88738633,-599717270.8887616,-133710726.2801543
Jamaica,2013,3,US dollar,-126568410.0063631,21324484.9496504,48412133.60474858,-251296210.143081,-129561821.9911169
Jamaica,2013,4,US dollar,-9024680.673634008,1756620.311773387,-69436872.52272289,-229510180.0972596,-121058870.0126764
Jamaica,2014,1,US dollar,-546401177.0774994,-61291645.97614349,4415041.359185182,-750459726.4903759,-124228098.8959181
Jamaica,2014,2,US dollar,-134058110.2309174,-66531877.28094477,150718161.6676733,-226255500.8727938,-142922693.7536049
Jamaica,2014,3,US dollar,-58737998.03688576,-48757325.99663846,-763830184.0283918,-1080176597.000597,-128117241.2636809
Jamaica,2014,4,US dollar,10051293.64979113,-1563646.794072341,145438648.1172523,-30135066.62793642,-127400706.9609075
Jamaica,2015,1,US dollar,-461995397.8174373,-2047245.267960163,286571470.348578,-493295501.9916166,-211438566.6197973
Jamaica,2015,2,US dollar,-298089353.3916398,28798855.08092716,302887178.0510117,-117435422.4013242,-186806738.3901232
Jamaica,2015,3,US dollar,2449706305.937738,800000,-1876188729.687444,335342859.43382,-265692789.4439733
Jamaica,2015,4,US dollar,-75167563.44465041,-1162047,18482966.6717763,-263838543.3650194,-226826730.5161455
Jamaica,2016,1,US dollar,96227749.91848771,-540514,372254568.7636625,216508625.5858177,-262888197.6213324
Jamaica,2016,2,US dollar,172876971.5686369,6400000.459486,-71676961.76850113,199528053.1675454,20037137.10792391
Jamaica,2016,3,US dollar,136207962.6334545,14734077,277585227.8644297,226281465.7234002,-239375229.474484
Jamaica,2016,4,US dollar,-428995107.307491,1584860,113668326.0622733,-531639015.115301,-175664446.2700833
Jamaica,2017,1,US dollar,167070302.5646815,2061185,-686174841.9969549,-794952392.6148603,-189733618.4825868
Jamaica,2017,2,US dollar,146340027.1969009,11838429.87685489,145293754.1855348,263646713.3226984,-166607529.8365922
Jamaica,2017,3,US dollar,305665616.9645975,19876456.811185,-725875354.0996977,-615312049.8183991,-232951018.494484
Jamaica,2017,4,US dollar,-291023905.1706286,-16493890.99999999,-169421453.6663492,-750432057.23691535,-265211481.1749375
Jamaica,2018,1,US dollar,286665498.4764319,-1045357.864990002,-440294049.1058413,-384115803.5309973,-243083100.7274978
Jamaica,2018,2,US dollar,-219560065.3819006,-4096000.000000004,328672341.0378279,-82757388.19412473,-166717092.0365921
Jamaica,2018,3,US dollar,43402423.62475654,6213327.75,84527662.55942307,-32261720.79732007,-169016368.0299999
Jamaica,2018,4,US dollar,-67235386.0934997,-11834093,-370806681.4799087,-650333790.7799087,-183133298.83
Jamaica,2019,1,US dollar,99362488.53595652,-22291869,-26678023.68304481,-207098427.4375444,-196500136.5366637
Jamaica,2019,2,US dollar,355009173.4748083,-91779646.99999999,-250126909.0084664,35645643.35648351,40075426.59414176
Jamaica,2019,3,US dollar,44622587.51100638,-8937907,3604156.605701121,-154933135.2227525,-165000000.0000001
Jamaica,2019,4,US dollar,-230837620.8233407,-12819325,-334478456.4012369,-483412343.7876777,102000000.0000001
Jamaica,2020,1,US dollar,310314728.927734,16782631,37263313.50475755,239306069.7587932,-99856892.0587322
Jamaica,2020,2,US dollar,-315943724.7001859,7584697,-85733128.8896459,25494477.6430116,-89884312.02659224
Jamaica,2020,3,US dollar,331830470.9518768,-122129,-249638371.0604877,83174368.45774913,-22125595.6699999
Jamaica,2020,4,US dollar,-386553021.3271962,-242774,-45628904.52961281,-483176977.2806259,-46541090.80598994
Jamaica,2021,1,US dollar,-241128723.5286381,35294.00000000038,218236570.0068338,-70289352.1872296,-22347500.00000007
Jamaica,2021,2,US dollar,42024304.75124881,-146394.0000000008,-49835818.45037364,-67843541.3042253,-36650000
Jamaica,2021,3,US dollar,-290020745.504333,-184072.9999999997,-55931731.20250424,-492025088.690061,-118400000
Jamaica,2021,4,US dollar,27206701.15169258,-141687.0000000001,-108644265.166653,-208980059.9702088,-86927579.00000004
Jamaica,2022,1,US dollar,-94471680.46261697,790020.1465228669,127051192.7515924,-39771025.353005856,-44510000.00000006
Jamaica,2022,2,US dollar,81684874.31052813,-521834.8534771304,56961529.64597876,-1081140.32386073,-64700000
Jamaica,2022,3,US dollar,-549063893.8890951,-17339.66838378656,437949583.2116025,-291516652.722961,-100136000
Jamaica,2022,4,US dollar,-177770177.9288936,15747.7319312366,133879044.3644519,-53967322.74298824,-49100000
Jamaica,2023,1,US dollar,57508225.13693352,-15115.45052695849,76620626.29913947,10176125.67255816,-124160380.0000001
Jamaica,2023,2,US dollar,34125728.18090098,0,203948656.1586894,81620061.87061217,-110000000
Jamaica,2023,3,US dollar,-59265003.96757266,0,109637632.2608473,119224536.6040241,-93132164.37925053
Jamaica,2023,4,US dollar,130197256.4156836,0,532088444.1789221,535398148.4069303,-53121373.3976755
Jamaica,2024,1,US dollar,58781503.19273794,0,-86104080.41521369,86158191.6475242,-36704817.00000013
Jamaica,2024,2,US dollar,192167362.1925275,0,182061890.8133927,243434464.1859204,-34746468
Jamaica,2024,3,US dollar,-143139647.0350796,0,263123623.9168769,304236060.7917974,-45260210
Jamaica,2024,4,US dollar,176519731,0,24890000,4449731.00000004,-46820000
"Fiji, Republic of",2000,1,US dollar,71635275.2468042,0,0,94554594.6124715,32791493.724472
"Fiji, Republic of",2000,2,US dollar,-1623299.1167343,0,0,2816901.4084507,-1527810.93339699
"Fiji, Republic of",2000,3,US dollar,-94513800.6877109,0,0,-122672779.653666,-21467736.4393916
"Fiji, Republic of",2000,4,US dollar,25974987.0495078,0,0,13586916.3028195,-8081107.08206911
"Fiji, Republic of",2001,1,US dollar,32327226.0378666,0,0,3273075.59051909,-15244461.6544725
"Fiji, Republic of",2001,2,US dollar,5569044.9753327,0,0,-13618055.2912433,-13357006.3080245
"Fiji, Republic of",2001,3,US dollar,2582351.52262594,0,0,-13655825.001005,-6609069.15112741
"Fiji, Republic of",2001,4,US dollar,-4186773.55997407,0,0,-14871768.5828246,-3445365.742062
"Fiji, Republic of",2002,1,US dollar,26768212.0150194,0,0,28686455.2213075,1089910.91266366
"Fiji, Republic of",2002,2,US dollar,-4485163.87120834,0,0,-32952224.359898,-19588266.7028282
"Fiji, Republic of",2002,3,US dollar,-55259330.5412323,0,0,-70642710.1956881,-10642881.9965872
"Fiji, Republic of",2002,4,US dollar,-20786940.3041163,0,-1653506.61510016,-21542829.0424478,188972.184582876
"Fiji, Republic of",2003,1,US dollar,16968536.1591623,0,598889.511499848,-1447316.31945797,-4990745.9291654
"Fiji, Republic of",2003,2,US dollar,-108945228.060846,0,-626722.309074856,-24598850.6311881,-12273311.8860493
"Fiji, Republic of",2003,3,US dollar,22362732.6648242,0,690535.687987447,11898461.0853222,-5896112.41281589
"Fiji, Republic of",2003,4,US dollar,-12120905.8412476,0,-1010075.48677063,-17115167.9702802,-13299327.24248
"Fiji, Republic of",2004,1,US dollar,647434.070559519,0,0,-86226446.6699723,-69040014.9787559
"Fiji, Republic of",2004,2,US dollar,-49530329.8528995,0,337323.472323946,-104289173.52682,-49980094.4826647
"Fiji, Republic of",2004,3,US dollar,21833339.6000181,0,0,-43496990.0321604,-63124370.4497932
"Fiji, Republic of",2004,4,US dollar,4031432.19368445,0,0,-62961485.1425424,-65214344.3096014
"Fiji, Republic of",2005,1,US dollar,68077139.8426632,NA,2836547.4934443,57334470.612172,-13579216.7239355
"Fiji, Republic of",2005,2,US dollar,-15510577.1136444,NA,4098371.72195144,-52694202.9403159,-41281997.5486229
"Fiji, Republic of",2005,3,US dollar,-48158850.7168197,NA,3325952.29676452,-100500071.782128,-55667173.3620729
"Fiji, Republic of",2005,4,US dollar,-46518617.0652902,NA,2415723.94971681,-96182889.0579094,-52079995.9423361
"Fiji, Republic of",2006,1,US dollar,-44857366.7772144,NA,-2412087.30560341,-122471510.150501,-75202056.0676829
"Fiji, Republic of",2006,2,US dollar,-7545458.25905876,NA,-2346523.19344214,-139765323.608421,-129873342.15592
"Fiji, Republic of",2006,3,US dollar,142744929.825197,NA,-256470634.728978,-262586626.063445,-148860921.159664
"Fiji, Republic of",2006,4,US dollar,-37194012.6165755,NA,-2886655.5677896,-269541831.46289,-229461163.278525
"Fiji, Republic of",2007,1,US dollar,-89311138.1883127,NA,-16293005.832145,-166878519.283524,-61274375.2630659
"Fiji, Republic of",2007,2,US dollar,2413188.27355314,NA,-18287635.7499649,-140617718.23239,-124743270.755978
"Fiji, Republic of",2007,3,US dollar,-64377608.8013564,NA,-18910141.3037382,-179291640.511778,-96003890.406683
"Fiji, Republic of",2007,4,US dollar,-24600767.0897315,NA,-19612993.7622454,-232841108.511201,-188627347.659224
"Fiji, Republic of",2008,1,US dollar,26914037.8454152,NA,-3357674.28132594,-100221888.727417,-123778252.291506
"Fiji, Republic of",2008,2,US dollar,4345279.05888553,NA,-2809390.03768714,-205566795.969992,-207102684.99119
"Fiji, Republic of",2008,3,US dollar,55540763.6228879,NA,-3133355.50818421,-121245359.161921,-173652767.276624
"Fiji, Republic of",2008,4,US dollar,19320802.1308677,NA,-3843280.59678139,-167986579.391588,-183464100.925674
"Fiji, Republic of",2009,1,US dollar,-63953115.8251795,NA,-2459000.03418335,-111741822.208551,-45329706.3491879
"Fiji, Republic of",2009,2,US dollar,-57902682.9240997,NA,-5234527.36799335,-155320586.091655,-92183375.7995618
"Fiji, Republic of",2009,3,US dollar,-147344475.985963,NA,13071522.3062472,-215167264.553879,-78883946.7630549
"Fiji, Republic of",2009,4,US dollar,-40016151.714157,NA,-263540.186584061,-128860662.077951,-88580970.1772099
"Fiji, Republic of",2010,1,US dollar,44044223.433887,NA,0,2898327.27649549,-41145896.1573915
"Fiji, Republic of",2010,2,US dollar,-24980123.0412327,NA,1933288.54494265,-48332213.6235664,-25285379.1272763
"Fiji, Republic of",2010,3,US dollar,-10659569.5466765,NA,0,-43621442.3681954,-32961872.8215189
"Fiji, Republic of",2010,4,US dollar,47131253.3384368,NA,-1084723.8973173,-26792680.2637374,-72839209.7048568
"Fiji, Republic of",2011,1,US dollar,390359350.140571,NA,-245674598.703273,65596974.8872011,-79087776.5500976
"Fiji, Republic of",2011,2,US dollar,-186652803.758966,NA,33288398.1226181,-223224751.356264,-69860345.7199161
"Fiji, Republic of",2011,3,US dollar,-198699389.053653,NA,251708692.501701,626991.761213474,-52382311.686835
"Fiji, Republic of",2011,4,US dollar,9713731.83623528,NA,7616448.82613903,2704391.24986096,-14625789.4125133
"Fiji, Republic of",2012,1,US dollar,13551753.4728953,NA,16883226.2016488,621122.034174375,-29813857.6403697
"Fiji, Republic of",2012,2,US dollar,-8151041.02157198,NA,15310739.216196,-77875486.5169106,-85035184.7115347
"Fiji, Republic of",2012,3,US dollar,-15017879.4626509,NA,9155881.90288013,-49687407.8875812,-43825410.3278104
"Fiji, Republic of",2012,4,US dollar,14985978.3933023,NA,12909269.777002,-88793325.1618136,-116688573.332118
"Fiji, Republic of",2013,1,US dollar,-106534765.478379,NA,15131187.1010849,-160558707.572623,-69155129.1953288
"Fiji, Republic of",2013,2,US dollar,-193750788.347786,NA,100706624.451956,-165563879.873461,-72519715.9776317
"Fiji, Republic of",2013,3,US dollar,88809579.1029892,NA,-86163286.5194674,-60388396.7559658,-63034689.3394875
"Fiji, Republic of",2013,4,US dollar,68686795.8153262,NA,2466504.76776347,36568614.1655366,-34584686.417553
"Fiji, Republic of",2014,1,US dollar,-67349071.6017601,NA,2598507.48699704,-76205209.3635663,-11454645.2488033
"Fiji, Republic of",2014,2,US dollar,-82124788.9240405,NA,1245792.20765923,-190075391.961643,-109196395.245262
"Fiji, Republic of",2014,3,US dollar,-127902067.398642,NA,1502205.48958137,-200812683.839395,-74412821.9303341
"Fiji, Republic of",2014,4,US dollar,-38858633.6309313,NA,5374850.52593501,-177939289.621078,-144455506.516082
"Fiji, Republic of",2015,1,US dollar,70652417.537054,NA,7752140.25753787,4072326.84414964,-74332230.9504422
"Fiji, Republic of",2015,2,US dollar,-133553044.067754,NA,2672032.52954764,-197730407.186525,-66849395.6483192
"Fiji, Republic of",2015,3,US dollar,64586329.0169263,NA,17136098.8307346,24260618.1815563,-57461809.6661045
"Fiji, Republic of",2015,4,US dollar,-5078031.68750394,NA,60423918.3366295,14675045.7024196,-40670840.9467059
"Fiji, Republic of",2016,1,US dollar,21014955.6434329,NA,14430269.5418239,-13122672.3017881,-48567897.487045
"Fiji, Republic of",2016,2,US dollar,-3582757.22861339,NA,1146482.31315628,-115890253.821547,-113453978.90609
"Fiji, Republic of",2016,3,US dollar,-11257864.0881936,NA,17954352.2096191,-129028709.528047,-135725197.649472
"Fiji, Republic of",2016,4,US dollar,63360705.7594401,NA,-4176046.5159631,-51120569.4195483,-110305228.663025
"Fiji, Republic of",2017,1,US dollar,-139954636.613379,NA,22100629.1940111,-199914604.513652,-82060597.0942845
"Fiji, Republic of",2017,2,US dollar,-185242382.393521,NA,2204695.88359688,-244002320.508516,-60964633.9985921
"Fiji, Republic of",2017,3,US dollar,91895009.3381971,NA,17728940.7083338,-42303222.4123856,-151927172.458916
"Fiji, Republic of",2017,4,US dollar,74670912.5636917,NA,386645.501947918,-19235613.7219089,-94293171.7875485
"Fiji, Republic of",2018,1,US dollar,-30573579.4129104,NA,29390086.0162816,-93200104.9845171,-92016611.5878883
"Fiji, Republic of",2018,2,US dollar,-180440152.1633,NA,-5607033.92738891,-276613673.751186,-90566487.6604975
"Fiji, Republic of",2018,3,US dollar,1651595.38228873,NA,20149463.6639224,-102052865.145612,-123853924.191823
"Fiji, Republic of",2018,4,US dollar,-24230990.1611008,NA,-8858137.60241401,-199144056.469085,-166054928.705571
"Fiji, Republic of",2019,1,US dollar,56028645.686984,NA,-12962201.34921,-97169545.6214332,-140235989.959207
"Fiji, Republic of",2019,2,US dollar,29762094.0175728,NA,18618720.2824441,-64027968.2530933,-112408782.55311
"Fiji, Republic of",2019,3,US dollar,-37739626.2911602,NA,5562113.01002483,-83063952.1414452,-50886438.8603098
"Fiji, Republic of",2019,4,US dollar,-318456202.328488,NA,-28445449.944046,-401822899.42698,-54921247.1544462
"Fiji, Republic of",2020,1,US dollar,94289649.4722344,NA,32378198.5975058,52428296.4737855,-74239551.5959547
"Fiji, Republic of",2020,2,US dollar,-122386720.502467,NA,-9152086.13728129,-189143113.503813,-57604306.8640646
"Fiji, Republic of",2020,3,US dollar,-292429096.023126,NA,152543167.434956,-200031252.441597,-60145323.853426
"Fiji, Republic of",2020,4,US dollar,20299247.1171257,NA,3859716.00114362,-9768417.03993139,-33927380.1582007
"Fiji, Republic of",2021,1,US dollar,-118552657.383801,NA,1519905.86389488,-170474602.863307,-53441851.3434007
"Fiji, Republic of",2021,2,US dollar,-147372020.320438,NA,6008206.33059789,-392243063.696757,-250879249.706917
"Fiji, Republic of",2021,3,US dollar,-157053786.417056,NA,9137152.97156797,-191112304.875753,-44824671.9076397
"Fiji, Republic of",2021,4,US dollar,-14154304.0800494,NA,7362138.0282136,-35338262.5354253,-28546096.4835895
"Fiji, Republic of",2022,1,US dollar,-139346831.316993,NA,5359493.51219206,-144048141.415408,-10060803.6106061
"Fiji, Republic of",2022,2,US dollar,-236321950.953473,NA,-1799757.09572065,-264518145.453096,-26396437.4039028
"Fiji, Republic of",2022,3,US dollar,-196322020.769264,NA,5274589.81119609,-205887802.291264,-14840371.3331958
"Fiji, Republic of",2022,4,US dollar,-62036664.9362911,NA,16003788.8283558,-81645702.8963094,-35612826.7883741
"Fiji, Republic of",2023,1,US dollar,-40612576.7979761,NA,2574990.96494398,-39076617.275027104,-1039031.44199494
"Fiji, Republic of",2023,2,US dollar,8796475.45619624,NA,36391510.1360403,33176554.6393594,-12011430.9528771
Lebanon,2002,1,US dollar,1059000000,NA,65510000,793270000,-331240000
Lebanon,2002,2,US dollar,1524490000,NA,-255510000,941810000,-327170000
Lebanon,2002,3,US dollar,-292300000,NA,-87530000,-846760000,-466930000
Lebanon,2002,4,US dollar,-453550000,NA,-572010000,-1235980000,-210420000
Lebanon,2003,1,US dollar,-2244608000,NA,-57044073.1226783,-2634096791.4301,-332444718.307421
Lebanon,2003,2,US dollar,-505022000,NA,259822518.626651,-677181381.861782,-431981900.488433
Lebanon,2003,3,US dollar,-1069041000,NA,-134091276.648985,-1633023999.34476,-429891722.695771
Lebanon,2003,4,US dollar,-405553000,NA,60511235.3546255,-1399792736.34193,-1054750971.69656
Lebanon,2004,1,US dollar,-1363191500,NA,130333558.156852,-1495426910.46371,-262568968.620564
Lebanon,2004,2,US dollar,-374070500,NA,-95213579.9532893,-833368417.247194,-364084337.293905
Lebanon,2004,3,US dollar,-1039159500,NA,253014874.686049,-1085865166.8892,-299720541.575249
Lebanon,2004,4,US dollar,-1168094500,NA,419217818.297144,-894230931.671347,-145354249.968491
Lebanon,2005,1,US dollar,3735297309.77599,NA,806949206.036418,4344872492.54881,-197374023.263599
Lebanon,2005,2,US dollar,-4258372819.07888,NA,-234927657.443622,-5230917290.69111,-737616814.168615
Lebanon,2005,3,US dollar,626197952.863229,NA,-720933684.180553,-643781387.48341,-549045656.166086
Lebanon,2005,4,US dollar,-1445422984.74416,NA,-386961820.43057,-2256351923.97898,-423967118.80425
Lebanon,2006,1,US dollar,-166734693.864014,NA,510472057.901553,-246211027.594841,-589948391.63238
Lebanon,2006,2,US dollar,164922287.56219,NA,592229261.57978,272729374.700656,-484422174.441314
Lebanon,2006,3,US dollar,2316863740.63019,NA,-1458883435.17148,589373684.88997,-268606620.56874
Lebanon,2006,4,US dollar,-1089972830.08221,NA,-1309280709.50022,-2856158725.139,-456905185.556571
Lebanon,2007,1,US dollar,-1385210000,NA,-167898621.13018,-2095975059.56691,-542866438.436733
Lebanon,2007,2,US dollar,-2750800000,NA,2124651805.03139,-1160896806.03727,-534748611.068657
Lebanon,2007,3,US dollar,-19150000,NA,-2122709297.47204,-2804133605.93238,-662274308.460344
Lebanon,2007,4,US dollar,429240000,NA,-4393503.99004996,-363154903.88402,-788001399.89397
Lebanon,2008,1,US dollar,-1880298629.16623,NA,773595088.65075,-1465275341.33161,-358571800.816128
Lebanon,2008,2,US dollar,-3845772459.60876,NA,-499918169.814925,-5004532376.89056,-741111747.466874
Lebanon,2008,3,US dollar,-1311408629.16623,NA,-601962043.685566,-2680645236.27168,-767274563.41988
Lebanon,2008,4,US dollar,-1791790282.05879,NA,-309024346.436325,-3542871987.17606,-1479507358.68095
Lebanon,2009,1,US dollar,-3621162349.60613,NA,-35608070.614292,-4198953774.31126,-542183354.090838
Lebanon,2009,2,US dollar,-2572084427.91321,NA,101141398.391838,-3805332590.49233,-1334389560.97096
Lebanon,2009,3,US dollar,-4258122887.60365,NA,-239455123.674477,-5172723406.31594,-379754104.064221
Lebanon,2009,4,US dollar,-2411278843.10283,NA,-1690591234.87164,-5523373257.60459,-1421503179.63012
Lebanon,2010,1,US dollar,-283151204.317928,NA,252095255.784458,-751231918.772737,-720175970.239267
Lebanon,2010,2,US dollar,-222933735.69261,NA,150103195.797461,-1115954865.26372,-1043124325.36857
Lebanon,2010,3,US dollar,-743489277.60739,NA,503617413.728205,-1084409271.19545,-844537407.316262
Lebanon,2010,4,US dollar,-1108701378.33817,NA,1729471909.84458,-564621987.50169,-1185392519.0081
Lebanon,2011,1,US dollar,670845166.3,0,-10020634.68,587060792.73,-73763738.89
Lebanon,2011,2,US dollar,-342903263.7,0,310714896,-836664918.5,-804476550.8
Lebanon,2011,3,US dollar,-3266603587,0,394138274.3,-3147766079.6,-275300766.9
Lebanon,2011,4,US dollar,-1297945644,0,58223388.4,-2286586337.6,-1046864082
Lebanon,2012,1,US dollar,-1022356052,0,-705468711.6,-1976767047.1,-248942283.5
Lebanon,2012,2,US dollar,-2689108505,0,-255063301.1,-3742584010.7,-798412204.6
Lebanon,2012,3,US dollar,-2123503526,0,915565692.4,-1736234279.7,-528296446.1
Lebanon,2012,4,US dollar,-873552288,0,-1149442776,-2528467604.5,-505472540.5
Lebanon,2013,1,US dollar,-3091159418,0,-943617776.9,-4134947290.4,-100170095.5
Lebanon,2013,2,US dollar,-2674461573,0,-163692150.2,-3234826077.7,-396672354.5
Lebanon,2013,3,US dollar,-1472291441,0,74726435.09,-1329372520.31,68192485.6
Lebanon,2013,4,US dollar,117006726.4,0,-537156936.5,-676890117.4,-256739907.3
Lebanon,2014,1,US dollar,-1374845065,0,-855826213.2,-2418300794.1,-187629515.9
Lebanon,2014,2,US dollar,-3612837458,0,-562483639.9,-4863410461.5,-688089363.6
Lebanon,2014,3,US dollar,-3354646943,0,-85294134.04,-3705535273.54,-265594196.5
